ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,CV_Segments,ProsodicStructure,FB_VowelHarmony,Year
H-0_carpenter-1,,H,0_carpenter,ács,ács,aː t͡ʃ,,wot,1,true,^ács$,H,aː t͡ʃ,VC,true,1222
EAH-0_carpenter-1,,EAH,0_carpenter,aγači,aγači,a ɣ a t͡ʃ i,,wot,1,true,^ a γ a č i $,EAH,a ɣ a t͡ʃ i,VCVCV,true,1222
WOT-0_carpenter-1,,WOT,0_carpenter,aγaččï,aγaččï,a ɣ a t͡ʃː ɯ,,wot,1,false,^ a γ a čč ï $,WOT,a ɣ a t͡ʃː ɯ,VCVCV,true,1222
H-1_cannoncatapult-1,,H,1_cannoncatapult,ágyú,ágyú,aː ɟ uː,,wot,2,true,^ágyú$,H,aː ɟ uː,VCV,true,1456
OH-1_cannoncatapult-1,,OH,1_cannoncatapult,āldʹū,āldʹū,aː l ɟ uː,,wot,2,true,^ ā l dʹ ū $,OH,aː l.ɟ uː,VCCV,true,1456
LAH-1_cannoncatapult-1,,LAH,1_cannoncatapult,aldau̯,aldau̯,a l d a w,,wot,2,true,^ a l d a u̯ $,LAH,a l.d a w,VCCVC,true,1456
EAH-1_cannoncatapult-1,,EAH,1_cannoncatapult,aldaγ,aldaγ,a l d a ɣ,,wot,2,true,^ a l d a γ $,EAH,a l.d a ɣ,VCCVC,true,1456
WOT-1_cannoncatapult-1,,WOT,1_cannoncatapult,aldaγ,aldaγ,a l d a ɣ,,wot,2,true,^ a l d a γ $,WOT,a l.d a ɣ,VCCVC,true,1456
H-2_tofondlepetcaress-1,,H,2_tofondlepetcaress,ajnároz,ajn,ɒ j n,,wot,3,true,^ajn$,H,ɒ j.n,VCC,true,1825
EAH-2_tofondlepetcaress-1,,EAH,2_tofondlepetcaress,ayan,ayan,a j a n,,wot,3,true,^ a y a n $,EAH,a j a n,VCVC,true,1825
WOT-2_tofondlepetcaress-1,,WOT,2_tofondlepetcaress,ayan,ayan,a j a n,,wot,3,false,^ a y a n $,WOT,a j a n,VCVC,true,1825
H-3_streamcurrent-1,,H,3_streamcurrent,ákos,ákos,aː k o ʃ,,wot,4,true,^ákos$,H,aː k o ʃ,VCVC,true,1903
